name,year,location,latitude,longitude,image,rec,video,description,radius,fillKey,radius
Marina Tsvetaeva,1914,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1914,"Koktebel
",44.5736,35.1426,,,,,,marina,15
Marina Tsvetaeva,1915,Koktebel/Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1916,Moscow,55.7558,37.6173,,,video/Tsvetaeva_1916.mp4,"A contemporary reading of Marina Tsvetaeva's poem ""V ogromnom gorode moem - noch'"" from the Insomnia cycle ",,marina,15
Marina Tsvetaeva,1917,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1918,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1919,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1920,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1921,Moscow,55.7558,37.6173,,,,,,marina,15
Marina Tsvetaeva,1922,Berlin/Prague,,,,,,,,marina,15
Marina Tsvetaeva,1923,Prague,50.0755,14.4378,,,,,,marina,15
Marina Tsvetaeva,1924,"Jiloviste, Vsenory",49.9275,14.3427,,,,,,marina,15
Marina Tsvetaeva,1925,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1926,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1927,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1928,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1929,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1930,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1931,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1932,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1933,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1934,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1935,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1936,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1937,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1938,Paris,48.8566,2.3522,,,,,,marina,15
Marina Tsvetaeva,1939,Paris,48.8566,2.3522,,,,,,marina,15
