name,year,location,latitude,longitude,order,narrative,fillKey,radius
Marina Tsvetaeva,1914,Moscow,55.7558,37.6173,1,"In 1914, Marina Tsvetaeva meets the poet Sofia Parnok with whom she has a short affair. This damages her relationship to her husband Sergei Efron and inspires some of her poems from that era.",marina,10
Marina Tsvetaeva,1914,Koktebel,44.5736,35.1426,2,,marina,10
Marina Tsvetaeva,1915,Koktebel/Moscow,55.7558,37.6173,1,,marina,10
Marina Tsvetaeva,1915,St. Petersburg,59.9343,30.3351,2,In 1915 she meets the poet Osip Mandelshtam in Petrograd. The two of them also have a short affair. ,marina,10
Marina Tsvetaeva,1916,Moscow,55.7558,37.6173,1,,marina,10
Marina Tsvetaeva,1917,Moscow,55.7558,37.6173,1,"In 1917, Tsvetaeva reads her verses at a literary meeting where she meets Boris Pasternak. He is not impressed by her. as he later admits: ""My ear was at that time perverted by the pretentious extravagances... Everything spoken in a normal way rebounded me.""",marina,10
Marina Tsvetaeva,1917,Crimea,45.3453,34.4997,2,"Marina Tsvetaeva was in Crimea on October 25th (Nov. 7th), 1917, when Lenin's troops stormed the Winter Palace",marina,10
Marina Tsvetaeva,1917,Moscow,55.7558,37.6173,3,,marina,10
Marina Tsvetaeva,1918,Moscow,55.7558,37.6173,1,,marina,10
Marina Tsvetaeva,1919,Moscow,55.7558,37.6173,1,,marina,10
Marina Tsvetaeva,1920,Moscow,55.7558,37.6173,1,,marina,10
Marina Tsvetaeva,1921,Moscow,55.7558,37.6173,1,"She publishes her next collection of poems in 1921. When Boris Pasternak reads them in 1922, he sends Tsvetaeva a letter with apologies for underestimating her. This is the same year that Gumilev is shot and Blok dies. Tsvetaeva hears rumors that Akhmatova has killed herself, and Mayakovsky uses his Petrograd contacts to find out they are false for her. In gratitude she writes him a poem where she addresses him as a ""heavy-footed archangel."" ",marina,10
Marina Tsvetaeva,1922,Moscow,55.7558,37.6173,1,"Tsvetaeva leaves Russia in 1922. Allegedly she thought of herself as going as ""a kind of ambassador to the Court of Western Conscience."" <br/> She meets Mayakovsky by chance on the the 28th of April, the early hours of the morning on the Kuznidsky Bridge, the eve of her departure and asks him ""Well, Mayakovsky, what message do you have for Europe."" He responds ""That truth is over here."" (Karlinsky, 123) (Teskovoj, 194) ",marina,10
Marina Tsvetaeva,1922,Berlin,52.52,13.405,2,"She rejoins her husband, Sergei Efron, in Berlin. They stay in Trautenaustraße in Berlin-Wilmersdorf, 3 mins away from cafe 'Prager Diele', the favourite place of Russian emigre intellectuals. Tsvetaeva leaves Berlin a day before Pasternak's arrival. ",marina,10
